ID,Pop
AMNH325486,M_CAR
AMNH444969,M_CAR
AMNH444970,M_CAR
AMNH444971,M_CAR
AMNH444972,M_CAR
AMNH746439,M_CAR
CUMV2943,M_NW
CUMV2946,M_NW
CUMV5301,M_NW
CUMV5305,M_NW
FMNH101456,M_NW
FMNH136947,M_NW
FMNH145326,M_NW
FMNH145328,M_NW
FMNH145329,M_NW
FMNH145330,M_NW
FMNH158867,M_CAR
FMNH158868,M_CAR
FMNH158869,M_CAR
FMNH16049,M_NW
MASS1701,C_NW
MASS1702,C_NW
MASS1706,C_NW
MASS1707,C_NW
MASS1710,C_NW
MASS1711,C_NW
MASS1712,C_NW
MASS1713 ,C_NW
MASS1714,C_NW
MASS1715,C_NW
MASS1716,C_NW
MASS1717,C_NW
MASS1718,C_NW
MASS1719,C_NW
MASS1720,C_NW
MASS1721,C_NW
MASS1722,C_NW
MASS1723,C_NW
MASS1724,C_NW
MASS1725,C_NW
MASS1727,C_NW
MASS1728,C_NW
MASS1729,C_NW
MASS1731,C_NW
MASS1733,C_NW
USVI1701,C_CAR
USVI1702,C_CAR
USVI1703,C_CAR
USVI1704,C_CAR
USVI1705,C_CAR
USVI1706,C_CAR
USVI1707,C_CAR
USVI1708,C_CAR
USVI1709,C_CAR
USVI1710,C_CAR
USVI1711,C_CAR
USVI1713,C_CAR
USVI1714,C_CAR
USVI1715,C_CAR
USVI1716,C_CAR
USVI1717,C_CAR
USVI1718,C_CAR
USVI1719,C_CAR
USVI1720,C_CAR
USVI1721,C_CAR
USVI1722,C_CAR
USVI1723,C_CAR
USVI1724,C_CAR
USVI1725,C_CAR
USVI1726,C_CAR
USVI1727,C_CAR
USVI1728,C_CAR
USVI1729,C_CAR
USVI1734,C_CAR
USVI1851,C_CAR
zo14195,M_NW
zo2944,M_CAR
